trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.75, 'e': 0.9855847669095608}",20,8,-20.704951375430802,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.75, 'e': 0.9851587315266797}",25,0,-48.22103510319033,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
71,False,"{'a': 0.75, 'e': 0.9847265389049334}",20,0,-73.36778608706285,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.75, 'e': 0.9842881917455246}",25,0,-156.10162075574735,"{0: 9, 1: 5, 2: 10, 3: 0, 4: 1}",0
73,False,"{'a': 0.75, 'e': 0.9838436927881214}",30,0,-112.76418708422538,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
74,False,"{'a': 0.75, 'e': 0.9833930448108409}",20,0,-102.95701071909792,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.75, 'e': 0.9829362506302315}",25,0,-187.92022851457403,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
76,False,"{'a': 0.75, 'e': 0.9824733131012553}",35,0,-185.39744105241397,"{0: 21, 1: 1, 2: 10, 3: 1, 4: 2}",0
77,False,"{'a': 0.75, 'e': 0.9820042351172703}",20,0,-103.79640319145258,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
78,False,"{'a': 0.75, 'e': 0.9815290196100125}",20,0,-80.41348522027825,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
79,False,"{'a': 0.75, 'e': 0.9810476695495772}",20,0,-145.1774602937499,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
80,False,"{'a': 0.75, 'e': 0.9805601879444008}",20,0,-164.61267424114914,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
81,False,"{'a': 0.75, 'e': 0.9800665778412416}",20,0,-50.94323511391839,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.75, 'e': 0.9795668423251612}",20,0,-55.187410529346685,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.75, 'e': 0.9790609845195051}",25,0,-174.8921453193064,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
